timestamp_utc,system_time_s,state_lat,state_lon,state_alt,state_relative_alt,state_fix_type,state_satellites,state_hdop,state_baro_alt,state_heading,state_climb,slam_timestamp_s,slam_x,slam_y,slam_z,slam_qw,slam_qx,slam_qy,slam_qz,slam_lat,slam_lon,slam_alt,mode
2025-11-13T08:15:53.309875+00:00,7656.669154274,-7.2823505,112.7923503,18.0,3.039,,,,,,,,,,,,,,,,,,1
2025-11-13T08:15:53.310328+00:00,7656.669603889,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.0006592856952920556,,,,,,,,,,,,1
2025-11-13T08:15:53.514723+00:00,7656.874014848,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.0006592856952920556,,,,,,,,,,,,1
2025-11-13T08:15:53.723141+00:00,7657.082424218,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,-8.159840217558667e-05,,,,,,,,,,,,1
2025-11-13T08:15:53.869571+00:00,7657.228854745,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,-0.0024949638172984123,,,,,,,,,,,,1
2025-11-13T08:15:54.025077+00:00,7657.384363404,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,-0.0024949638172984123,,,,,,,,,,,,1
2025-11-13T08:15:54.231111+00:00,7657.590393681,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,-0.0008044816786423326,,,,,,,,,,,,1
2025-11-13T08:15:54.352618+00:00,7657.711903618,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,-0.000624538108240813,,,,,,,,,,,,1
2025-11-13T08:15:54.506478+00:00,7657.865763433,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,-0.000624538108240813,,,,,,,,,,,,1
2025-11-13T08:15:54.609386+00:00,7657.968670227,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0006825097952969372,,,,,,,,,,,,1
2025-11-13T08:15:54.773066+00:00,7658.132348442,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0006825097952969372,,,,,,,,,,,,1
2025-11-13T08:15:54.980539+00:00,7658.339824884,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.0024784307461231947,,,,,,,,,,,,1
2025-11-13T08:15:55.107812+00:00,7658.467094246,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.0035146765876561403,,,,,,,,,,,,1
2025-11-13T08:15:55.260928+00:00,7658.620214272,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.0035146765876561403,,,,,,,,,,,,1
2025-11-13T08:15:55.364318+00:00,7658.723601213,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.0022308698389679193,,,,,,,,,,,,1
2025-11-13T08:15:55.557418+00:00,7658.916697868,-7.2823506,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.0018615627195686102,,,,,,,,,,,,1
2025-11-13T08:15:55.762391+00:00,7659.121673803,-7.2823506,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.0018615627195686102,,,,,,,,,,,,1
