timestamp_utc,system_time_s,state_lat,state_lon,state_alt,state_relative_alt,state_fix_type,state_satellites,state_hdop,state_baro_alt,state_heading,state_climb,slam_timestamp_s,slam_x,slam_y,slam_z,slam_qw,slam_qx,slam_qy,slam_qz,slam_lat,slam_lon,slam_alt,mode
2025-11-13T08:02:02.961517+00:00,6826.320799206,-7.2823506,112.7923503,18.03,3.044,,,,,,,,,,,,,,,,,,1
2025-11-13T08:02:02.962028+00:00,6826.32130575,-7.2823506,112.7923503,18.03,3.044,6,10,1.21,18.029998779296875,50.0,-0.004568920936435461,,,,,,,,,,,,1
2025-11-13T08:02:03.163705+00:00,6826.522994285,-7.2823506,112.7923503,18.03,3.044,6,10,1.21,18.029998779296875,50.0,-0.004568920936435461,,,,,,,,,,,,1
2025-11-13T08:02:03.364994+00:00,6826.724276378,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.005121828522533178,,,,,,,,,,,,1
2025-11-13T08:02:03.617294+00:00,6826.976576534,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0033162408508360386,,,,,,,,,,,,1
2025-11-13T08:02:03.764487+00:00,6827.123769978,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0032951391767710447,,,,,,,,,,,,1
2025-11-13T08:02:03.917685+00:00,6827.27696913,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0032951391767710447,,,,,,,,,,,,1
2025-11-13T08:02:04.020459+00:00,6827.379738826,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0037612689193338156,,,,,,,,,,,,1
2025-11-13T08:02:04.178288+00:00,6827.537569126,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0037612689193338156,,,,,,,,,,,,1
2025-11-13T08:02:04.388294+00:00,6827.747576345,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.002948481822386384,,,,,,,,,,,,1
2025-11-13T08:02:04.515279+00:00,6827.874560276,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0030642179772257805,,,,,,,,,,,,1
2025-11-13T08:02:04.670819+00:00,6828.03011228,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0030642179772257805,,,,,,,,,,,,1
2025-11-13T08:02:04.880478+00:00,6828.239762456,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0038162614218890667,,,,,,,,,,,,1
2025-11-13T08:02:04.997548+00:00,6828.356832147,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0032652500085532665,,,,,,,,,,,,1
2025-11-13T08:02:05.153104+00:00,6828.512389053,-7.2823506,112.7923503,18.03,3.043,6,10,1.21,18.029998779296875,50.0,-0.0032652500085532665,,,,,,,,,,,,1
2025-11-13T08:02:05.268567+00:00,6828.627857472,-7.2823506,112.7923503,18.03,3.044,6,10,1.21,18.029998779296875,50.0,0.00023735604190733284,,,,,,,,,,,,1
2025-11-13T08:02:05.422707+00:00,6828.781992199,-7.2823506,112.7923503,18.03,3.044,6,10,1.21,18.029998779296875,50.0,0.00023735604190733284,,,,,,,,,,,,1
2025-11-13T08:02:05.633329+00:00,6828.992611431,-7.2823506,112.7923503,18.03,3.046,6,10,1.21,18.029998779296875,50.0,0.017503580078482628,,,,,,,,,,,,1
2025-11-13T08:02:05.754214+00:00,6829.113497511,-7.2823506,112.7923504,18.04,3.055,6,10,1.21,18.03999900817871,50.0,0.05775104835629463,,,,,,,,,,,,1
2025-11-13T08:02:05.905907+00:00,6829.265190494,-7.2823506,112.7923504,18.04,3.055,6,10,1.21,18.03999900817871,50.0,0.05775104835629463,,,,,,,,,,,,1
2025-11-13T08:02:06.010871+00:00,6829.370151427,-7.2823506,112.7923507,18.06,3.077,6,10,1.21,18.059999465942383,50.0,0.12831200659275055,,,,,,,,,,,,1
2025-11-13T08:02:06.206618+00:00,6829.565898779,-7.2823506,112.7923507,18.06,3.077,6,10,1.21,18.059999465942383,50.0,0.12831200659275055,6829.558286678,0.011818740209307304,-0.016480123337045117,0.001645837664696806,0.9996424540871888,-0.01967313295086791,-0.004532211799836104,0.017532566344989647,,,,1
2025-11-13T08:02:06.417243+00:00,6829.776525606,-7.2823506,112.7923511,18.1,3.116,6,10,1.21,18.100000381469727,51.0,0.22163011133670807,6829.736198614,0.019950781818581675,-0.02760857956975013,0.0027082586565909082,0.9994905103154192,-0.02040024099441151,0.0018704415492479956,0.02447552665834987,,,,1
2025-11-13T08:02:06.627570+00:00,6829.986852195,-7.2823506,112.7923518,18.16,3.179,6,10,1.21,18.15999984741211,53.0,0.32666316628456116,6829.972382123,0.030120670070302877,-0.04258652090777022,0.0030846916789247225,0.9991609598215013,-0.02066952326018264,0.011037156944421833,0.03359059903242349,,,,1
