timestamp_utc,system_time_s,state_lat,state_lon,state_alt,state_relative_alt,state_fix_type,state_satellites,state_hdop,state_baro_alt,state_heading,state_climb,slam_timestamp_s,slam_x,slam_y,slam_z,slam_qw,slam_qx,slam_qy,slam_qz,slam_lat,slam_lon,slam_alt,mode
2025-11-13T07:57:02.106292+00:00,6525.465572086,-7.2823505,112.7923503,18.0,3.038,,,,,,,,,,,,,,,,,,1
2025-11-13T07:57:02.106727+00:00,6525.466007293,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.000646267319098115,,,,,,,,,,,,1
2025-11-13T07:57:02.312397+00:00,6525.671679771,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.000646267319098115,,,,,,,,,,,,1
2025-11-13T07:57:02.524640+00:00,6525.88392458,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0009504010668024421,,,,,,,,,,,,1
2025-11-13T07:57:02.648049+00:00,6526.007329162,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0029387723188847303,,,,,,,,,,,,1
2025-11-13T07:57:02.801740+00:00,6526.161025188,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0029387723188847303,,,,,,,,,,,,1
2025-11-13T07:57:03.011931+00:00,6526.371215538,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.003439777297899127,,,,,,,,,,,,1
2025-11-13T07:57:03.114758+00:00,6526.474041626,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.002835997845977545,,,,,,,,,,,,1
2025-11-13T07:57:03.275488+00:00,6526.634773494,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.002835997845977545,,,,,,,,,,,,1
2025-11-13T07:57:03.398464+00:00,6526.757746207,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.001594615401700139,,,,,,,,,,,,1
2025-11-13T07:57:03.551575+00:00,6526.910860872,-7.2823505,112.7923503,18.0,3.038,6,10,1.21,18.0,50.0,0.001594615401700139,,,,,,,,,,,,1
2025-11-13T07:57:03.762813+00:00,6527.122095213,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,-0.0005062337731942534,,,,,,,,,,,,1
2025-11-13T07:57:03.904836+00:00,6527.264127459,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0015902079176157713,,,,,,,,,,,,1
2025-11-13T07:57:04.029599+00:00,6527.388878563,-7.2823505,112.7923503,18.0,3.037,6,10,1.21,18.0,50.0,0.0015902079176157713,,,,,,,,,,,,1
2025-11-13T07:57:04.134300+00:00,6527.493581675,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.0013178933877497911,,,,,,,,,,,,1
2025-11-13T07:57:04.285539+00:00,6527.644821945,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.0013178933877497911,,,,,,,,,,,,1
2025-11-13T07:57:04.516496+00:00,6527.875780999,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.0022440508473664522,,,,,,,,,,,,1
2025-11-13T07:57:04.757868+00:00,6528.117153341,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.00356418639421463,,,,,,,,,,,,1
2025-11-13T07:57:04.903693+00:00,6528.262972819,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.004923473112285137,,,,,,,,,,,,1
2025-11-13T07:57:05.030535+00:00,6528.389815431,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.004923473112285137,,,,,,,,,,,,1
2025-11-13T07:57:05.146244+00:00,6528.505525954,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.00420044781640172,,,,,,,,,,,,1
2025-11-13T07:57:05.299046+00:00,6528.658330543,-7.2823505,112.7923503,18.0,3.036,6,10,1.21,18.0,50.0,0.00420044781640172,,,,,,,,,,,,1
2025-11-13T07:57:05.401941+00:00,6528.761223028,-7.2823505,112.7923503,18.0,3.035,6,10,1.21,18.0,50.0,0.003534593852236867,,,,,,,,,,,,1
2025-11-13T07:57:05.554138+00:00,6528.913429201,-7.2823505,112.7923503,18.0,3.035,6,10,1.21,18.0,50.0,0.003534593852236867,,,,,,,,,,,,1
2025-11-13T07:57:05.772284+00:00,6529.131567087,-7.2823505,112.7923503,18.0,3.035,6,10,1.21,18.0,50.0,0.010332034900784492,,,,,,,,,,,,1
2025-11-13T07:57:05.904570+00:00,6529.263853196,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.033383794128894806,,,,,,,,,,,,1
2025-11-13T07:57:06.029984+00:00,6529.389267561,-7.2823505,112.7923503,18.0,3.039,6,10,1.21,18.0,50.0,0.033383794128894806,,,,,,,,,,,,1
2025-11-13T07:57:06.139995+00:00,6529.499277793,-7.2823504,112.7923505,18.02,3.05,6,10,1.21,18.020000457763672,50.0,0.07261425256729126,,,,,,,,,,,,1
2025-11-13T07:57:06.293864+00:00,6529.653149028,-7.2823504,112.7923505,18.02,3.05,6,10,1.21,18.020000457763672,50.0,0.07261425256729126,,,,,,,,,,,,1
2025-11-13T07:57:06.503575+00:00,6529.862855562,-7.2823502,112.7923508,18.04,3.071,6,10,1.21,18.03999900817871,50.0,0.12786489725112915,,,,,,,,,,,,1
2025-11-13T07:57:06.653224+00:00,6530.012506346,-7.2823497,112.7923513,18.07,3.108,6,10,1.21,18.06999969482422,49.0,0.19711756706237793,6529.956539763,-0.0006308942940486917,-0.024061471054343184,0.012310514393037666,0.999661870632776,-0.025649190840030377,-0.0035109836300431774,-0.0024364741287807444,,,,1
2025-11-13T07:57:06.811034+00:00,6530.170319458,-7.2823497,112.7923513,18.07,3.108,6,10,1.21,18.06999969482422,49.0,0.19711756706237793,6530.164700554,-0.000717837960936354,-0.04422334325463631,0.019436439739383235,0.9996549616177148,-0.02571490299817039,-0.0043125703309330864,-0.0031785553354630866,,,,1
2025-11-13T07:57:07.028553+00:00,6530.387837622,-7.2823491,112.792352,18.13,3.16,6,10,1.21,18.1299991607666,49.0,0.2669433057308197,6530.350733964,-0.0009327335537925004,-0.06626737024331879,0.026646002988189983,0.9996393791248728,-0.02631203873118397,-0.004451115133340494,-0.002995979759168047,,,,1
2025-11-13T07:57:07.135863+00:00,6530.495143858,-7.2823484,112.7923529,18.19,3.229,6,10,1.21,18.190000534057617,49.0,0.33934900164604187,6530.467124495,-0.0006133041934664772,-0.08087416543273443,0.03178274648334411,0.9996329393296874,-0.026625055034763753,-0.004292572390230387,-0.002582029000579563,,,,1
2025-11-13T07:57:07.292655+00:00,6530.651936196,-7.2823484,112.7923529,18.19,3.229,6,10,1.21,18.190000534057617,49.0,0.33934900164604187,6530.616929258,-0.0002998432739193052,-0.10425308914420427,0.03915006971074388,0.9996171861807509,-0.027404245845637668,-0.0034994952866367235,-0.0014973090691815032,,,,1
2025-11-13T07:57:07.403842+00:00,6530.763122626,-7.2823474,112.7923541,18.28,3.318,6,10,1.21,18.279998779296875,49.0,0.4148401916027069,6530.707079323,-0.0008030379247606126,-0.11574618214429092,0.042556802451405876,0.9996285019388728,-0.027081979610751112,-0.0028242898132684593,-0.0012032783795511216,,,,1
2025-11-13T07:57:07.559100+00:00,6530.918382531,-7.2823474,112.7923541,18.28,3.318,6,10,1.21,18.279998779296875,49.0,0.4148401916027069,6530.903210362,-0.00010421574700867847,-0.15195032618211687,0.054028231535972006,0.9996499288318982,-0.02641066826297578,-0.001530360929051573,-0.0003929169258673697,,,,1
2025-11-13T07:57:07.762587+00:00,6531.121874278,-7.2823463,112.7923554,18.39,3.424,6,10,1.21,18.389999389648438,50.0,0.487935870885849,6531.084800039,0.0004751592536097954,-0.17880698203398693,0.06246933014551304,0.9996545261583027,-0.026263183041764136,-0.0007488657383446705,0.0007160641311801134,,,,1
2025-11-13T07:57:08.003522+00:00,6531.362804011,-7.282345,112.792357,18.51,3.546,6,10,1.21,18.510000228881836,50.0,0.5586509108543396,6531.333676223,0.0013476683985609644,-0.2469343864782128,0.08331141208871103,0.9996682094368229,-0.025631817023224743,0.00042311324278866046,0.002510373009764049,,,,1
2025-11-13T07:57:08.105296+00:00,6531.464584487,-7.2823435,112.7923589,18.66,3.691,6,10,1.21,18.65999984741211,50.0,0.6279721260070801,6531.451356059,0.0024609121220537794,-0.27862396606394274,0.09322783696219515,0.9996741467494302,-0.025336905532062953,0.0005207055312207343,0.0030611116620836184,,,,1
2025-11-13T07:57:08.255822+00:00,6531.615107615,-7.2823435,112.7923589,18.66,3.691,6,10,1.21,18.65999984741211,50.0,0.6279721260070801,6531.573702652,0.0033998868321074996,-0.31062516764756926,0.10355780137051644,0.9996820387762675,-0.0249820086593212,0.0005140388227365435,0.0033847238527829706,,,,1
2025-11-13T07:57:08.403248+00:00,6531.762529975,-7.2823418,112.7923609,18.81,3.849,6,10,1.21,18.809999465942383,50.0,0.6951740384101868,6531.746875679,0.003110245759029179,-0.3561135846996372,0.1169691841334855,0.9996892961343989,-0.024673197297734633,0.0007636886606692285,0.0034585125482915384,,,,1
2025-11-13T07:57:08.558453+00:00,6531.917734898,-7.2823418,112.7923609,18.81,3.849,6,10,1.21,18.809999465942383,50.0,0.6951740384101868,6531.912389636,-0.00016889578121053622,-0.4276834493710228,0.13754796282640921,0.9996729319258718,-0.02548049331472729,0.0012421518882627634,0.0017974131010400698,,,,1
2025-11-13T07:57:08.759942+00:00,6532.119226903,-7.28234,112.7923631,18.99,4.021,6,10,1.21,18.989999771118164,50.0,0.7550572156906128,6532.093630007,-0.00043535352918754993,-0.48732462487116757,0.15486666983216937,0.9998206347392435,-0.01881872572839633,0.0013138320218156073,0.0016815935876467107,,,,1
2025-11-13T07:57:08.903271+00:00,6532.262551274,-7.2823379,112.7923656,19.18,4.214,6,10,1.21,19.18000030517578,50.0,0.7995954155921936,6532.213408763,0.0014098548584267514,-0.5299967384157845,0.16754470342440825,0.9999218923376312,-0.012330772685968805,0.0011003260077612148,0.001717716965714387,,,,1
